PRODUCT_ID,segment
827393,4
827394,10
827424,3
827475,6
827546,4
827570,2
827575,6
827578,5
827614,8
827628,8
827631,7
827656,1
827667,7
827671,1
827683,2
827749,0
827778,8
827781,8
827782,8
827802,1
827806,0
827815,6
827841,6
827856,1
827858,8
827875,5
827891,8
827894,5
827895,8
827900,8
827911,5
827915,6
827919,1
827935,6
827939,6
827965,6
827975,4
827992,6
827999,7
828009,3
828015,0
828040,10
828044,3
828048,0
828055,1
828069,8
828073,7
828077,4
828085,0
828106,3
828113,6
828114,10
828121,6
828134,4
828137,6
828139,1
828143,8
828211,0
828219,1
828223,0
828235,6
828248,10
828254,0
828278,8
828283,1
828295,0
828300,8
828324,8
828328,10
828331,0
828339,6
828348,0
828353,8
828370,1
828385,10
828393,1
828412,9
828420,5
828427,1
828437,1
828450,8
828479,6
828489,6
828490,1
828516,10
828520,5
828525,1
828557,7
828561,3
828565,5
828570,5
828588,7
828591,8
828647,8
828665,4
828713,7
828727,8
828732,8
828734,6
828737,8
828748,4
828771,10
828798,8
828800,8
828805,0
828822,6
828837,8
828857,7
828867,1
828870,4
828878,4
828891,8
828896,5
828901,1
828910,3
828935,1
828977,10
828987,0
828993,1
828999,5
829001,2
829009,0
829013,8
829019,10
829030,8
829080,8
829105,4
829116,8
829117,0
829138,1
829150,0
829176,8
829197,0
829242,0
829265,8
829266,0
829278,8
829291,5
829303,4
829305,10
829315,10
829323,1
829349,11
829375,0
829384,10
829388,0
829394,5
829418,10
829427,1
829437,8
829438,8
829452,6
829456,1
829459,7
829469,8
829491,0
829495,0
829515,0
829550,7
829563,9
829594,10
829605,4
829617,1
829621,3
829645,7
829662,10
829685,5
829722,0
829727,8
829731,6
829802,3
829823,8
829852,2
829866,10
829883,6
829915,4
829920,10
829928,10
829932,0
829950,11
829955,1
829958,4
829972,10
829982,3
829994,6
830015,1
830024,4
830070,8
830097,1
830125,8
830127,8
830133,0
830156,7
830157,0
830169,4
830172,0
830184,6
830192,8
830202,1
830203,6
830224,6
830228,8
830245,11
830281,3
830297,0
830299,8
830304,7
830321,10
830374,3
830390,8
830456,0
830463,0
830474,0
830479,4
830503,2
830506,8
830526,7
830534,6
830541,8
830545,4
830568,8
830582,9
830608,5
830615,1
830628,6
830644,6
830647,8
830650,0
830677,10
830678,8
830686,8
830701,0
830740,6
830744,8
830750,2
830769,6
830775,8
830781,0
830783,8
830790,8
830793,8
830795,2
830801,0
830815,10
830850,0
830878,3
830887,2
830898,8
830910,0
830914,8
830920,6
830935,7
830941,3
830952,0
830955,8
830960,7
830965,1
830973,3
830976,8
830977,5
831002,6
831018,8
831054,8
831063,2
831077,8
831091,7
831124,0
831125,7
831141,0
831161,1
831169,0
831177,6
831181,7
831198,0
831199,8
831213,8
831223,0
831246,7
831296,8
831299,0
831331,8
831366,5
831371,10
831377,0
831390,7
831407,6
831447,0
831456,0
831460,6
831465,10
831470,8
831471,3
831473,8
831506,7
831509,7
831517,3
831519,6
831523,8
831536,2
831545,7
831557,1
831559,7
831578,10
831587,7
831590,5
831602,8
831628,2
831630,10
831671,8
831705,8
831712,7
831726,8
831728,7
831735,5
831763,7
831805,8
831808,2
831809,8
831815,2
831848,8
831863,3
831875,0
831880,4
831888,7
831919,8
831937,7
831965,3
832001,1
832007,7
832044,4
832062,8
832082,10
832122,8
832133,8
832143,8
832144,8
832166,8
832167,0
832179,6
832185,0
832207,8
832221,8
832234,4
832249,10
832270,7
832276,0
832285,7
832287,6
832288,7
832289,10
832298,5
832311,8
832330,10
832335,10
832337,6
832369,0
832373,8
832390,4
832394,10
832398,8
832442,0
832456,4
832473,7
832484,8
832492,7
832501,6
832513,7
832526,8
832544,3
832565,8
832607,3
832652,8
832659,8
832660,5
832661,6
832675,8
832678,2
832681,1
832733,8
832746,10
832760,7
832768,1
832785,1
832810,0
832828,10
832849,6
832873,0
832921,6
832937,1
832940,8
832944,6
832968,5
832976,7
832981,8
832984,8
832989,10
832990,8
833014,7
833025,2
833040,10
833074,10
833077,3
833125,4
833131,10
833151,0
833155,6
833159,8
833169,7
833179,8
833193,3
833201,0
833234,6
833238,7
833241,3
833245,0
833247,10
833273,5
833307,10
833310,8
833312,4
833318,5
833347,7
833348,8
833349,8
833350,3
833351,2
833383,10
833409,6
833413,8
833436,10
833443,5
833458,1
833465,1
833473,6
833494,8
833505,0
833529,6
833556,2
833558,0
833577,7
833583,7
833584,8
833591,1
833598,7
833609,7
833625,5
833648,1
833701,8
833709,10
833715,2
833723,2
833724,2
833754,1
833755,6
833767,8
833787,10
833828,5
833841,8
833849,7
833860,8
833866,1
833870,3
833919,6
833933,8
833935,1
833940,5
833948,10
833969,8
833990,0
834009,0
834022,8
834040,6
834050,5
834067,8
834086,0
834102,7
834103,2
834110,8
834117,2
834128,8
834129,1
834142,6
834158,1
834160,10
834165,0
834167,6
834183,4
834201,8
834208,4
834227,8
834236,1
834248,10
834249,5
834290,0
834303,0
834313,8
834377,6
834382,7
834391,9
834396,5
834399,5
834410,1
834427,6
834435,11
834453,6
834458,4
834465,3
834484,2
834488,1
834491,2
834495,9
834516,8
834545,1
834547,4
834565,6
834567,10
834570,6
834572,7
834604,6
834631,8
834662,8
834664,8
834681,0
834715,10
834737,3
834738,4
834777,11
834780,0
834797,1
834808,8
834826,11
834833,2
834842,2
834846,6
834871,8
834880,8
834911,1
834915,10
834929,0
834932,11
834952,8
834962,5
834974,0
834988,8
834993,1
835004,2
835017,6
835028,5
835029,0
835058,7
835077,8
835080,10
835085,8
835098,2
835223,6
835224,6
835236,7
835239,11
835243,1
835247,10
835254,5
835278,3
835279,1
835280,3
835282,8
835285,7
835294,3
835296,7
835300,7
835301,0
835307,0
835309,0
835329,8
835334,6
835345,10
835347,10
835351,1
835353,6
835394,10
835403,6
835406,4
835424,1
835431,7
835464,8
835476,1
835482,8
835496,6
835499,6
835511,4
835530,2
835545,4
835558,10
835572,10
835576,2
835578,6
835595,2
835604,5
835616,1
835618,1
835619,7
835630,6
835634,3
835661,5
835675,0
835694,7
835715,3
835783,8
835787,6
835788,2
835796,7
835819,5
835841,10
835861,6
835864,8
835904,8
835922,3
835943,7
835972,8
835973,7
835976,0
835977,0
835983,6
835984,8
835986,6
835988,10
835994,8
836043,10
836051,1
836085,7
836090,7
836163,3
836171,10
836181,4
836188,5
836197,10
836258,8
836261,5
836262,6
836280,6
836281,2
836286,7
836357,8
836386,4
836393,7
836401,0
836406,0
836423,4
836445,7
836482,6
836489,6
836500,10
836508,6
836543,8
836548,10
836549,4
836554,8
836580,8
836587,5
836592,8
836608,10
836634,0
836635,7
836645,1
836647,0
836649,8
836664,0
836665,5
836687,8
836697,5
836703,1
836731,8
836736,4
836740,10
836745,3
836758,7
836762,8
836770,6
836793,7
836805,6
836823,8
836836,3
836878,6
836883,8
836891,7
836892,0
836916,3
836917,6
836922,4
836924,1
836952,7
836964,1
836983,6
837005,7
837012,11
837073,7
837076,6
837098,8
837103,4
837107,2
837137,4
837139,7
837154,3
837167,7
837171,8
837190,6
837208,1
837213,8
837242,8
837248,10
837270,1
837298,10
837303,0
837304,2
837325,0
837339,8
837361,6
837362,7
837366,10
837367,5
837381,0
837383,4
837413,1
837469,8
837473,6
837482,0
837494,10
837495,8
837518,6
837523,3
837527,10
837528,6
837543,10
837555,4
837558,0
837559,5
837561,5
837569,5
837579,7
837596,6
837602,8
837614,4
837638,0
837644,2
837647,11
837661,8
837664,1
837669,1
837672,0
837677,3
837679,6
837684,8
837686,10
837694,4
837713,8
837720,7
837751,11
837760,6
837769,8
837781,10
837799,3
837821,6
837838,8
837862,10
837864,1
837865,3
837904,7
837908,7
837917,10
837920,5
837940,8
837963,9
837969,1
837981,5
838010,7
838020,6
838036,8
838039,8
838050,7
838097,1
838118,6
838120,6
838130,1
838136,0
838147,3
838186,2
838202,0
838210,3
838218,10
838220,6
838221,8
838254,6
838258,2
838261,3
838282,0
838319,0
838328,8
838347,7
838351,0
838356,6
838369,10
838396,7
838411,5
838431,0
838440,8
838487,7
838489,6
838524,0
838554,8
838562,10
838563,1
838571,7
838597,10
838602,2
838611,6
838630,0
838637,11
838644,8
838663,3
838709,0
838712,1
838719,6
838729,0
838733,2
838738,1
838739,1
838769,8
838770,3
